Name: base_model.model.time_embed.0.weight, Requires_Grad: False
Name: base_model.model.time_embed.0.bias, Requires_Grad: False
Name: base_model.model.time_embed.2.weight, Requires_Grad: False
Name: base_model.model.time_embed.2.bias, Requires_Grad: False
Name: base_model.model.label_emb.weight, Requires_Grad: False
Name: base_model.model.input_blocks.0.0.weight, Requires_Grad: False
Name: base_model.model.input_blocks.0.0.bias, Requires_Grad: False
Name: base_model.model.input_blocks.1.0.in_layers.0.weight, Requires_Grad: False
Name: base_model.model.input_blocks.1.0.in_layers.0.bias, Requires_Grad: False
Name: base_model.model.input_blocks.1.0.in_layers.2.weight, Requires_Grad: False
Name: base_model.model.input_blocks.1.0.in_layers.2.bias, Requires_Grad: False
Name: base_model.model.input_blocks.1.0.emb_layers.1.weight, Requires_Grad: False
Name: base_model.model.input_blocks.1.0.emb_layers.1.bias, Requires_Grad: False
Name: base_model.model.input_blocks.1.0.out_layers.0.weight, Requires_Grad: False
Name: base_model.model.input_blocks.1.0.out_layers.0.bias, Requires_Grad: False
Name: base_model.model.input_blocks.1.0.out_layers.3.weight, Requires_Grad: False
Name: base_model.model.input_blocks.1.0.out_layers.3.bias, Requires_Grad: False
Name: base_model.model.input_blocks.1.1.norm.weight, Requires_Grad: False
Name: base_model.model.input_blocks.1.1.norm.bias, Requires_Grad: False
Name: base_model.model.input_blocks.1.1.qkv.weight, Requires_Grad: False
Name: base_model.model.input_blocks.1.1.qkv.bias, Requires_Grad: False
Name: base_model.model.input_blocks.1.1.proj_out.weight, Requires_Grad: False
Name: base_model.model.input_blocks.1.1.proj_out.bias, Requires_Grad: False
Name: base_model.model.input_blocks.2.0.in_layers.0.weight, Requires_Grad: False
Name: base_model.model.input_blocks.2.0.in_layers.0.bias, Requires_Grad: False
Name: base_model.model.input_blocks.2.0.in_layers.2.weight, Requires_Grad: False
Name: base_model.model.input_blocks.2.0.in_layers.2.bias, Requires_Grad: False
Name: base_model.model.input_blocks.2.0.emb_layers.1.weight, Requires_Grad: False
Name: base_model.model.input_blocks.2.0.emb_layers.1.bias, Requires_Grad: False
Name: base_model.model.input_blocks.2.0.out_layers.0.weight, Requires_Grad: False
Name: base_model.model.input_blocks.2.0.out_layers.0.bias, Requires_Grad: False
Name: base_model.model.input_blocks.2.0.out_layers.3.weight, Requires_Grad: False
Name: base_model.model.input_blocks.2.0.out_layers.3.bias, Requires_Grad: False
Name: base_model.model.input_blocks.2.1.norm.weight, Requires_Grad: False
Name: base_model.model.input_blocks.2.1.norm.bias, Requires_Grad: False
Name: base_model.model.input_blocks.2.1.qkv.weight, Requires_Grad: False
Name: base_model.model.input_blocks.2.1.qkv.bias, Requires_Grad: False
Name: base_model.model.input_blocks.2.1.proj_out.weight, Requires_Grad: False
Name: base_model.model.input_blocks.2.1.proj_out.bias, Requires_Grad: False
Name: base_model.model.input_blocks.3.0.in_layers.0.weight, Requires_Grad: False
Name: base_model.model.input_blocks.3.0.in_layers.0.bias, Requires_Grad: False
Name: base_model.model.input_blocks.3.0.in_layers.2.weight, Requires_Grad: False
Name: base_model.model.input_blocks.3.0.in_layers.2.bias, Requires_Grad: False
Name: base_model.model.input_blocks.3.0.emb_layers.1.weight, Requires_Grad: False
Name: base_model.model.input_blocks.3.0.emb_layers.1.bias, Requires_Grad: False
Name: base_model.model.input_blocks.3.0.out_layers.0.weight, Requires_Grad: False
Name: base_model.model.input_blocks.3.0.out_layers.0.bias, Requires_Grad: False
Name: base_model.model.input_blocks.3.0.out_layers.3.weight, Requires_Grad: False
Name: base_model.model.input_blocks.3.0.out_layers.3.bias, Requires_Grad: False
Name: base_model.model.input_blocks.3.1.norm.weight, Requires_Grad: False
Name: base_model.model.input_blocks.3.1.norm.bias, Requires_Grad: False
Name: base_model.model.input_blocks.3.1.qkv.weight, Requires_Grad: False
Name: base_model.model.input_blocks.3.1.qkv.bias, Requires_Grad: False
Name: base_model.model.input_blocks.3.1.proj_out.weight, Requires_Grad: False
Name: base_model.model.input_blocks.3.1.proj_out.bias, Requires_Grad: False
Name: base_model.model.input_blocks.4.0.in_layers.0.weight, Requires_Grad: False
Name: base_model.model.input_blocks.4.0.in_layers.0.bias, Requires_Grad: False
